Date,Exercise_id,Category_id,Weight (lbs),Reps
2022-06-05,4,1,45,5
2022-06-05,4,1,45,5
2022-06-05,4,1,50,4
2022-06-05,5,2,50,5
2022-06-05,5,2,55,5
2022-06-05,5,2,60,5
2022-06-05,2,1,50,5
2022-06-05,2,1,50,5
2022-06-05,2,1,55,5
2022-06-07,1,4,85,4
2022-06-07,1,4,85,4
2022-06-07,1,4,85,4
2022-06-07,1,4,95,2
2022-06-07,3,3,45,5
2022-06-07,3,3,50,5
2022-06-07,3,3,55,5
2022-06-07,3,3,60,3
2022-06-09,4,1,45,5
2022-06-09,4,1,50,4
2022-06-09,4,1,50,4
2022-06-09,5,2,55,5
2022-06-09,5,2,55,5
2022-06-09,5,2,60,5
2022-06-09,2,1,50,5
2022-06-09,2,1,55,5
2022-06-09,2,1,55,5
2022-06-09,4,1,45,6
2022-06-09,5,2,60,5
2022-06-09,2,1,50,6
2022-06-11,1,4,75,5
2022-06-11,1,4,80,5
2022-06-11,1,4,80,5
2022-06-11,1,4,80,5
2022-06-11,1,4,85,5
2022-06-11,3,3,50,5
2022-06-11,3,3,50,5
2022-06-11,3,3,55,5
2022-06-11,3,3,55,5
2022-06-11,3,3,60,5
2022-06-12,4,1,45,5
2022-06-12,4,1,45,5
2022-06-12,4,1,45,5
2022-06-12,4,1,45,5
2022-06-12,5,2,55,5
2022-06-12,5,2,55,5
2022-06-12,5,2,60,5
2022-06-12,5,2,60,5
2022-06-12,2,1,55,5
2022-06-12,2,1,55,5
2022-06-12,2,1,55,5
2022-06-12,2,1,55,5
2022-06-12,4,1,45,5
2022-06-12,5,2,65,3
2022-06-12,2,1,55,5
2022-06-15,1,4,88,5
2022-06-15,1,4,88,5
2022-06-15,1,4,88,5
2022-06-15,1,4,88,5
2022-06-15,3,3,55,5
2022-06-15,3,3,55,5
2022-06-15,3,3,55,5
2022-06-15,3,3,60,5
2022-06-15,1,4,83,8
2022-06-15,3,3,60,5
2022-06-18,1,4,90,5
2022-06-18,1,4,90,5
2022-06-18,1,4,90,5
2022-06-18,1,4,95,3
2022-06-18,1,4,95,3
2022-06-18,3,3,55,5
2022-06-18,3,3,60,5
2022-06-18,3,3,60,5
2022-06-18,3,3,60,5
2022-06-18,3,3,55,5
2022-06-19,2,1,55,6
2022-06-19,2,1,55,6
2022-06-19,2,1,55,6
2022-06-19,2,1,55,6
2022-06-19,5,2,60,6
2022-06-19,5,2,60,6
2022-06-19,5,2,60,6
2022-06-19,5,2,60,6
2022-06-19,4,1,45,6
2022-06-19,4,1,45,6
2022-06-19,4,1,45,6
2022-06-19,4,1,45,6
2022-06-21,1,4,95,3
2022-06-21,1,4,95,3
2022-06-21,1,4,95,3
2022-06-21,1,4,95,4
2022-06-21,1,4,95,5
2022-06-21,3,3,60,5
2022-06-21,3,3,60,5
2022-06-21,3,3,60,5
2022-06-21,3,3,60,5
2022-06-21,3,3,60,5
2022-06-23,2,1,60,2
2022-06-23,2,1,60,2
2022-06-23,2,1,60,2
2022-06-23,2,1,60,2
2022-06-23,5,2,65,3
2022-06-23,4,1,50,3
2022-06-23,4,1,50,3
2022-06-23,4,1,50,3
2022-06-23,4,1,45,5
2022-06-23,2,1,60,3
2022-06-23,5,2,65,3
2022-06-23,5,2,65,3
2022-06-23,5,2,65,3
2022-06-23,5,2,65,3
2022-06-23,4,1,45,5
2022-06-25,1,4,95,5
2022-06-25,1,4,95,5
2022-06-25,1,4,95,5
2022-06-25,1,4,100,3
2022-06-25,1,4,100,3
2022-06-25,3,3,60,5
2022-06-25,3,3,60,5
2022-06-25,3,3,60,5
2022-06-25,3,3,65,3
2022-06-25,3,3,65,3
2022-06-26,4,1,45,5
2022-06-26,4,1,50,3
2022-06-26,4,1,50,3
2022-06-26,4,1,50,3
2022-06-26,4,1,50,3
2022-06-26,2,1,60,3
2022-06-26,2,1,60,3
2022-06-26,2,1,60,3
2022-06-26,2,1,60,3
2022-06-26,2,1,60,3
2022-06-26,5,2,60,6
2022-06-26,5,2,60,6
2022-06-26,5,2,60,5
